,pearson_ic,spearman_ic
2018-04-02,0.3105393243354914,0.2774489795918367
2018-04-03,-0.05048268222236455,-0.1104081632653061
2018-04-04,0.07519618174440666,0.10357142857142856
2018-04-05,0.32630998305340214,0.2946938775510204
2018-04-06,0.14809753541312012,0.09826530612244896
2018-04-09,0.0549601042599656,0.02816326530612245
2018-04-10,-0.10659708160385882,-0.1273469387755102
2018-04-11,-0.24771070022114158,-0.25816326530612244
2018-04-12,0.07773982597427902,0.08173469387755102
2018-04-13,-0.33931023078028255,-0.3635714285714285
2018-04-16,0.2698931544255278,0.18316326530612242
2018-04-17,-0.005833275340078915,-0.009387755102040816
2018-04-18,0.14271594916624425,0.23724489795918366
2018-04-19,0.009094647790856888,0.07520408163265306
2018-04-20,0.016386380513986377,0.06622448979591836
2018-04-23,-0.042585592066336976,-0.03510204081632653
2018-04-24,0.2125421344987405,0.23357142857142857
2018-04-25,0.21038648406239796,0.2562244897959184
2018-04-26,0.2305134380775402,0.2894897959183673
2018-04-27,-0.2714380016191915,-0.3729591836734693
2018-04-30,0.20618951203457556,0.19989795918367348
2018-05-01,-0.4394250570456534,-0.4833673469387755
2018-05-02,-0.4889317196696599,-0.5605102040816327
2018-05-03,-0.37876375582765454,-0.4236734693877551
2018-05-04,-0.04673374632052632,-0.01489795918367347
2018-05-07,0.27340750042837475,0.32775510204081626
2018-05-08,0.014902937802776637,0.0860204081632653
2018-05-09,0.17385516739699938,0.13857142857142854
2018-05-10,0.19085294323909183,0.10775510204081633
2018-05-11,-0.18933380443847517,-0.1777551020408163
2018-05-14,-0.11286253394166122,-0.19336734693877547
2018-05-15,-0.49086781130074486,-0.4198979591836734
2018-05-16,0.39817537370539585,0.41102040816326524
2018-05-17,0.0376889272382787,-0.0031632653061224487
2018-05-18,0.05223570991807886,0.008775510204081632
2018-05-21,-0.25533929280659196,-0.2286734693877551
2018-05-22,0.2185690127508228,0.25510204081632654
2018-05-23,0.15273722166387818,0.08499999999999998
2018-05-24,-0.46045287614739583,-0.5138775510204081
2018-05-25,-0.22134191314168902,-0.30612244897959184
2018-05-29,-0.25488762967371714,-0.20132653061224487
2018-05-30,-0.23624913372407352,-0.30336734693877554
2018-05-31,0.04967637606724289,0.17826530612244895
2018-06-01,0.4681454690234567,0.46346938775510205
2018-06-04,0.269826246506716,0.43999999999999995
2018-06-05,0.03313821412164832,0.11581632653061223
2018-06-06,0.342200564991131,0.396938775510204
2018-06-07,0.14024243951381585,0.25724489795918365
2018-06-08,0.3342771854261289,0.3205102040816326
2018-06-11,0.017577633230973243,0.06510204081632652
2018-06-12,-0.21786677680950314,-0.3074489795918367
2018-06-13,-0.07396030016138234,-0.17724489795918366
2018-06-14,-0.2771832713847516,-0.18357142857142855
2018-06-15,-0.25623807954238964,-0.1336734693877551
2018-06-18,-0.34285526781079356,-0.1851020408163265
2018-06-19,0.3695379158713317,0.40030612244897956
2018-06-20,-0.17064816917853998,-0.2208163265306122
2018-06-21,0.3895986734220438,0.49071428571428566
2018-06-22,-0.10963005194947412,-0.10795918367346936
2018-06-25,0.23483163097387572,0.17989795918367346
2018-06-26,-0.2681605372049123,-0.3743877551020408
2018-06-27,0.16033642742076123,0.038775510204081626
2018-06-28,0.409624092919955,0.47622448979591825
2018-06-29,-0.10989904326532407,-0.12653061224489795
2018-07-02,0.27382260170682665,0.08459183673469386
2018-07-03,-0.558297604683318,-0.5796938775510203
2018-07-05,0.135078056469139,0.3635714285714285
2018-07-06,0.26366563054719855,0.1714285714285714
2018-07-09,0.03077056631892564,0.0510204081632653
2018-07-10,-0.06137225374909435,-0.013061224489795917
2018-07-11,0.22431186519664703,0.5162244897959183
2018-07-12,-0.10174233139147792,-0.12051020408163263
2018-07-13,0.12316748730621448,0.1854081632653061
2018-07-16,-0.020238903586694567,0.1220408163265306
2018-07-17,0.046606616609564853,0.26091836734693874
2018-07-18,-0.2783083720182963,-0.2705102040816326
2018-07-19,0.007633690958602094,-0.010714285714285713
2018-07-20,0.030377262507468594,0.15112244897959182
2018-07-23,0.16335035864140357,0.08908163265306122
2018-07-24,0.10515032655339278,0.15979591836734694
2018-07-25,0.03879734699025202,-0.22377551020408162
2018-07-26,-0.0047720440259124254,0.024591836734693878
2018-07-27,0.007702174063006399,0.015102040816326528
2018-07-30,0.29702313416557563,0.3006122448979591
2018-07-31,0.340995086270034,0.4039795918367346
2018-08-01,0.3228770581403413,0.3197959183673469
2018-08-02,-0.32779966163751406,-0.338469387755102
2018-08-03,-0.32694706502069,-0.3672448979591836
2018-08-06,0.33292854739889266,0.39357142857142846
2018-08-07,-0.10457652517163883,-0.16755102040816325
2018-08-08,0.4253323421366304,0.3885714285714285
2018-08-09,-0.1478834384163094,-0.15295918367346936
2018-08-10,0.12138230928590577,0.013265306122448977
2018-08-13,-0.15469617895178944,-0.13469387755102039
2018-08-14,0.15417082958981623,0.1046938775510204
2018-08-15,0.07757301210369746,0.22040816326530613
2018-08-16,0.07668519934514291,0.054897959183673455
2018-08-17,0.49778541384664543,0.5730612244897959
2018-08-20,0.31867206880047044,0.4591836734693877
2018-08-21,-0.05430041221109282,0.018673469387755104
2018-08-22,-0.2684641776932854,-0.22387755102040813
2018-08-23,-0.43353092060484544,-0.5008163265306123
2018-08-24,-0.2914629446074061,-0.3151020408163265
2018-08-27,-0.42634933340156406,-0.2988775510204081
2018-08-28,-0.11996566591566127,0.03071428571428571
2018-08-29,-0.21960556759075067,-0.23775510204081632
2018-08-30,0.19229922264960997,0.22234693877551018
2018-08-31,0.1912498405518745,0.21561224489795913
2018-09-04,-0.16197171072016397,-0.15316326530612243
2018-09-05,-0.2922070345958019,-0.18622448979591832
2018-09-06,0.12731862880752504,0.13755102040816325
2018-09-07,0.007563997283216834,-0.11163265306122448
2018-09-10,0.2907505960902974,0.2704081632653061
2018-09-11,-0.23988796973390258,-0.21081632653061222
2018-09-12,0.22659998885444682,0.26112244897959186
2018-09-13,0.06499561387209732,0.06887755102040816
2018-09-14,0.10383562021428498,0.1556122448979592
2018-09-17,0.05732750912087981,-0.004387755102040816
2018-09-18,0.15127296207785512,0.13724489795918365
2018-09-19,-0.007910772632184577,0.045204081632653055
2018-09-20,0.3467005186208325,0.23551020408163262
2018-09-21,0.09466361441193091,0.2213265306122449
2018-09-24,0.09402010304249556,0.10744897959183673
2018-09-25,0.11109827277913925,0.09091836734693877
2018-09-26,0.15206388248325567,0.11693877551020407
2018-09-27,0.010142719987334223,0.11377551020408162
2018-09-28,0.02154348770996514,0.0639795918367347
2018-10-01,0.1534760351963593,0.07510204081632653
2018-10-02,-0.14070061827649855,-0.06285714285714285
2018-10-03,-0.4221023101132609,-0.4538775510204081
2018-10-04,0.2883986763957062,0.2916326530612245
2018-10-05,0.04856596339276885,0.052959183673469384
2018-10-08,0.17724157978596197,0.1683673469387755
2018-10-09,0.2808327633765701,0.19979591836734692
2018-10-10,-0.3248004678947535,-0.396734693877551
2018-10-11,0.27540923166266446,0.2114285714285714
2018-10-12,0.5366909101895477,0.6494897959183673
2018-10-15,0.053273319996713094,0.057142857142857134
2018-10-16,-0.39218873994782966,-0.38204081632653064
2018-10-17,0.14075606601057306,0.11448979591836735
2018-10-18,-0.20484494182677912,-0.23061224489795915
2018-10-19,-0.242434098872687,-0.24020408163265303
2018-10-22,-0.6104162108291236,-0.485408163265306
2018-10-23,0.3670937948942301,0.43683673469387757
2018-10-24,0.29465456807004287,0.4479591836734693
2018-10-25,-0.016013969952877787,0.07591836734693877
2018-10-26,0.12760593402914674,0.32989795918367343
2018-10-29,-0.069419160191331,0.024795918367346938
2018-10-30,0.3184009980690076,0.40948979591836726
2018-10-31,-0.02956307725128772,0.14122448979591834
2018-11-01,0.10622113977981153,0.10214285714285712
2018-11-02,-0.11063480315828339,0.08357142857142856
2018-11-05,-0.17924127547909227,-0.15193877551020407
2018-11-06,-0.4491906316411601,-0.4986734693877551
2018-11-07,-0.17666673183802017,-0.2483673469387755
2018-11-08,-0.022976174014233193,0.013469387755102041
2018-11-09,-0.2510201417725404,-0.28377551020408165
2018-11-12,-0.11746779762369812,-0.23693877551020406
2018-11-13,-0.36046651547614933,-0.2755102040816326
2018-11-14,0.4175097036262322,0.2805102040816326
2018-11-15,0.15660802908734114,0.16673469387755102
2018-11-16,-0.11826662802389712,-0.19551020408163264
2018-11-19,0.44196227666291354,0.4308163265306122
2018-11-20,0.6177149951112281,0.6105102040816326
2018-11-21,-0.4979372442412351,-0.5177551020408162
2018-11-23,-0.071352691422295,-0.020102040816326525
2018-11-26,-0.22393757239523618,-0.14244897959183672
2018-11-27,0.08817834438229348,0.10846938775510204
2018-11-28,0.020389507170955876,0.011122448979591835
2018-11-29,-0.01816768438210536,-0.08306122448979592
2018-11-30,-0.1508300031796023,-0.050816326530612244
2018-12-03,-0.256041241023278,-0.16520408163265304
2018-12-04,0.2584123703139737,0.42234693877551016
2018-12-06,-0.37820462022912177,-0.4259183673469387
2018-12-07,0.03699932119234956,-0.20285714285714282
2018-12-10,-0.10869163558789333,-0.04673469387755102
2018-12-11,-0.3055475488347539,-0.27183673469387754
2018-12-12,0.3194533317131344,0.2548979591836734
2018-12-13,-0.009155258290521153,0.031020408163265303
2018-12-14,-0.05095016977546539,0.05153061224489795
2018-12-17,-0.01654037856219659,-0.03938775510204081
2018-12-18,-0.05958424744198267,-0.16724489795918365
2018-12-19,-0.07968410522485259,0.03
2018-12-20,-0.1483451652371213,-0.20989795918367343
2018-12-21,-0.3778280825003375,-0.3503061224489795
2018-12-24,0.08660513652404439,0.17326530612244898
2018-12-26,0.3086597049195982,0.3925510204081632
2018-12-27,0.020608573706566425,-0.09387755102040815
2018-12-28,0.3333385618764116,0.2214285714285714
2018-12-31,0.038484590296103634,0.17857142857142855
2019-01-02,-0.08362544202701844,0.08244897959183672
2019-01-03,-0.1675624046528068,-0.21132653061224485
2019-01-04,-0.004236041235048114,0.029693877551020407
2019-01-07,0.14037795244690296,0.17826530612244895
2019-01-08,-0.22816308220473225,-0.18285714285714283
2019-01-09,0.11732326692872613,0.0070408163265306125
2019-01-10,-0.042146552113178484,0.03928571428571428
2019-01-11,0.18586276770591245,0.19979591836734692
2019-01-14,0.20143635673272073,0.18887755102040815
2019-01-15,-0.046545993956898415,-0.0024489795918367346
2019-01-16,-0.06576776879856189,0.0064285714285714285
2019-01-17,-0.008509893442916475,-0.08295918367346938
2019-01-18,0.1909914255627757,0.11091836734693877
2019-01-22,0.013892643353607818,-0.1857142857142857
2019-01-23,0.16625162000155944,0.19520408163265304
2019-01-24,0.05365130540216525,-0.013163265306122449
2019-01-25,0.10289182063926137,0.06612244897959184
2019-01-28,-0.43687012608079623,-0.36102040816326525
2019-01-29,0.3605714664745302,0.5084693877551021
2019-01-30,0.21135292743044062,0.16234693877551018
2019-01-31,0.09924964910023867,0.04306122448979591
2019-02-01,0.0017863959838824715,0.05142857142857143
2019-02-04,-0.00021216016391379443,0.00683673469387755
2019-02-05,0.06298876151414096,0.06673469387755102
2019-02-06,-0.07894460643173157,-0.1293877551020408
2019-02-07,-0.09190955918138738,-0.12316326530612244
2019-02-08,0.053254990343663454,-0.024897959183673466
2019-02-11,0.057598071290011044,0.0413265306122449
2019-02-12,0.2916262469688849,0.2505102040816326
2019-02-13,-0.06778007499247762,-0.075
2019-02-14,0.026313460449242706,0.03224489795918367
2019-02-15,-0.16922696960947267,-0.19357142857142856
2019-02-19,0.054586628629906805,-0.07581632653061224
2019-02-20,0.038817568735315,0.05051020408163265
2019-02-21,-0.02875270473515035,0.022755102040816325
2019-02-22,0.04889372476152344,0.16918367346938773
2019-02-25,-0.1811637282394752,-0.21081632653061222
2019-02-26,0.04673345434396459,0.06612244897959184
2019-02-27,0.031582784516200044,-0.13999999999999999
2019-02-28,0.03822599517983007,0.0639795918367347
2019-03-01,-0.1882954897394298,-0.17326530612244898
2019-03-04,0.03397486187118332,0.011122448979591835
2019-03-05,0.05111868832810334,0.049183673469387755
2019-03-06,0.15691425466402806,0.16255102040816324
2019-03-07,0.2652986782754286,0.20193877551020406
2019-03-08,0.14011013154341187,0.004387755102040816
2019-03-11,-0.06801219992661446,-0.16316326530612243
2019-03-12,-0.20848656656559134,-0.14622448979591837
2019-03-13,-0.22544126721456,-0.21499999999999994
2019-03-14,0.11917714039214136,0.11765306122448978
2019-03-15,0.45746250978034825,0.3939795918367347
2019-03-18,-0.06698505282581205,-0.03938775510204081
2019-03-19,0.2888778009852393,0.22571428571428567
2019-03-20,-0.010746776806597374,-0.13959183673469386
2019-03-21,0.08018679951436417,0.03214285714285714
2019-03-22,0.20199200675789902,0.16010204081632654
2019-03-25,0.4461261514174427,0.3893877551020408
2019-03-26,0.024656236355140217,0.0433673469387755
2019-03-27,0.4218267505219247,0.4820408163265305
2019-03-28,0.021395499212446274,0.050408163265306116
2019-03-29,0.04714625391755013,0.10918367346938775
2019-04-01,0.11416771084176855,0.12979591836734694
2019-04-02,-0.16850150757632612,-0.12163265306122449
2019-04-03,0.11828317965990724,0.14938775510204083
2019-04-04,-0.02993131047078467,-0.23959183673469384
2019-04-05,-0.17105160386236448,-0.09887755102040816
2019-04-08,0.042590687939815054,0.1336734693877551
2019-04-09,0.05537514874053998,0.05520408163265305
2019-04-10,0.057347586077662716,0.07887755102040815
2019-04-11,0.32177556935028323,0.04887755102040816
2019-04-12,-0.022174945576005647,-0.11755102040816326
2019-04-15,-0.14258522039942104,-0.11051020408163266
2019-04-16,-0.26091156032238205,-0.3218367346938775
2019-04-17,0.20411737392196824,0.2978571428571428
2019-04-18,0.12420770077358254,0.11316326530612243
2019-04-22,-0.090084337351569,-0.09377551020408162
2019-04-23,0.130384176291679,0.11479591836734693
2019-04-24,-0.0290831822793691,-0.09948979591836735
2019-04-25,-0.0919225033471929,0.0583673469387755
2019-04-26,0.17212796679482323,0.2664285714285714
2019-04-29,-0.0965593671203932,-0.04010204081632653
2019-04-30,-0.11583127843407333,-0.13948979591836733
2019-05-01,0.07125580676234942,-0.017857142857142853
2019-05-02,0.39713666071059683,0.41326530612244894
2019-05-03,0.14339903668176535,0.16683673469387753
2019-05-06,-0.10540190796773992,-0.08642857142857141
2019-05-07,-0.17328928133389232,-0.17791270191253225
2019-05-08,-0.12082412428795458,-0.10030612244897957
2019-05-09,-0.35406622095564755,-0.331734693877551
2019-05-10,0.047649651474045034,-0.03765306122448979
2019-05-13,-0.21346520860042764,-0.26122448979591834
2019-05-14,-0.10566288586410555,-0.15040816326530612
2019-05-15,0.18804893464887945,0.09826530612244896
2019-05-16,-0.0925612124118027,-0.09295918367346936
2019-05-17,-0.5382723180514952,-0.5342857142857143
2019-05-20,-0.006138606085802068,0.05795918367346938
2019-05-21,-0.4233851739788126,-0.21938775510204078
2019-05-22,0.1691573458478377,0.2321428571428571
2019-05-23,-0.2626617319145912,-0.37285714285714283
2019-05-24,-0.11499693702328831,-0.16887755102040813
2019-05-28,0.1384945807530971,0.2043877551020408
2019-05-29,0.06505532571943125,0.09653061224489794
2019-05-30,0.012886418751952152,0.03438775510204081
2019-05-31,-0.08083172512470252,-0.13122448979591836
2019-06-03,-0.21686964502297823,-0.06602040816326529
2019-06-04,0.3005365949464609,0.3554081632653061
2019-06-05,0.02796791344437279,-0.0004081632653061224
2019-06-06,0.034553768966574055,0.01857142857142857
2019-06-07,0.14193178251004915,0.1196938775510204
2019-06-10,-0.15806954400566345,-0.1093877551020408
2019-06-11,0.034629971210458646,0.06295918367346938
2019-06-12,0.12154247444866266,0.12612244897959182
2019-06-13,0.11162111323854156,0.09051020408163264
2019-06-14,0.007170041793354595,-0.16438775510204082
2019-06-17,0.584167090711344,0.5542857142857142
2019-06-18,-0.10461008029417342,-0.039693877551020405
2019-06-19,-0.15683192740402335,-0.07219571930204564
2019-06-20,-0.03285898043999742,0.07979591836734692
2019-06-21,0.15169684696786737,0.11030612244897958
2019-06-24,0.38975552950316217,0.4576530612244898
2019-06-25,0.06418890030553827,0.049183673469387755
2019-06-26,0.47336779745881824,0.3127551020408163
2019-06-27,0.0803586231171507,0.011734693877551019
2019-06-28,0.11068791832260869,0.14489795918367346
2019-07-01,0.15874487382328717,0.12306122448979592
2019-07-02,0.1779782792571753,0.20285714285714282
2019-07-03,-0.04169219096958071,-0.10775510204081633
2019-07-05,0.16799783560818773,0.022857142857142854
2019-07-08,-0.4688031993490921,-0.3194897959183673
2019-07-09,-0.15596259723933115,-0.052959183673469384
2019-07-10,0.24377201001853804,0.23520408163265302
2019-07-11,-0.033997504161317395,0.08061224489795918
2019-07-12,-0.07751224655072915,-0.17520408163265302
2019-07-15,-0.0792419810161542,-0.002551020408163265
2019-07-16,-0.0505272517626733,0.1793877551020408
2019-07-17,0.027064276645002903,0.11142857142857142
2019-07-18,0.05139635264580355,-0.012448979591836733
2019-07-19,0.24360052198578744,0.1473469387755102
2019-07-22,0.3406557799229909,0.3503061224489795
2019-07-23,0.10321448348577383,0.18561224489795913
2019-07-24,-0.003294522104020116,-0.14081632653061224
2019-07-25,0.1835085336256158,0.26653061224489794
2019-07-26,-0.11805436137222905,-0.19979591836734692
2019-07-29,-0.1491688107564504,-0.3407142857142857
2019-07-30,-0.24580331424121488,-0.22448979591836732
2019-07-31,0.314703928667677,0.2633673469387755
2019-08-01,0.3931929884849235,0.4657142857142857
2019-08-02,-0.1574122039292822,-0.3168367346938775
2019-08-05,-0.08226576949511193,-0.007959183673469388
2019-08-06,0.11213552723014053,0.1801020408163265
2019-08-07,-0.2010486394707543,-0.25785714285714284
2019-08-08,-0.31687687744600307,-0.48306122448979594
2019-08-09,0.1636818645345848,0.016836734693877548
2019-08-12,0.04322392197496997,0.0786734693877551
2019-08-13,0.11873843814936975,0.11540816326530612
2019-08-14,0.15491651325770142,0.06724489795918366
2019-08-15,-0.21920541781331898,-0.18153061224489794
2019-08-16,-0.1833722508129893,0.024897959183673466
2019-08-19,0.2450544286946106,0.14520408163265305
2019-08-20,0.06702532933049908,0.09081632653061222
2019-08-21,-0.12078259081608887,0.07408163265306122
2019-08-22,-0.07443850476672957,0.11571428571428571
2019-08-23,-0.2875994505965589,-0.43642857142857133
2019-08-26,0.24147527076106698,0.26510204081632655
2019-08-27,0.21250670655338066,0.3
2019-08-28,-0.07708583068921357,0.06030612244897959
2019-08-29,-0.05441659830865903,-0.02714285714285714
2019-08-30,-0.11028457090323238,-0.15163265306122448
2019-09-03,-0.23080238369692924,-0.19887755102040813
2019-09-04,0.30599704503793834,0.3168367346938775
2019-09-05,-0.19503782376649745,-0.15204081632653058
2019-09-06,-0.22654462707812786,-0.24908163265306119
2019-09-09,0.09930453073300516,0.12295918367346936
2019-09-10,0.22857267924756863,0.055918367346938766
2019-09-11,0.19864469323424425,0.18612244897959182
2019-09-12,0.04376329317279884,0.07153061224489796
2019-09-13,-0.07108067955309685,-0.011530612244897957
2019-09-16,0.4456598098001982,0.39224489795918366
2019-09-17,0.21398912925571736,0.3268367346938775
2019-09-18,-0.05260884432817703,-0.21193877551020404
2019-09-19,-0.2157533339848731,-0.08163265306122448
2019-09-20,0.18446158850334016,0.18183673469387754
2019-09-23,0.20417133871349677,0.21795918367346936
2019-09-24,-0.23770996945258022,-0.38826530612244897
2019-09-25,-0.26513448473065643,-0.3862244897959183
2019-09-26,-0.14098023634822385,-0.09846938775510203
2019-09-27,-0.10163946761391245,-0.11948979591836732
2019-09-30,0.4307758987626508,0.4289795918367346
2019-10-01,-0.1870665258173754,-0.191734693877551
2019-10-02,-0.10621924967079138,-0.1363265306122449
2019-10-03,0.023167441328537663,-0.028061224489795915
2019-10-04,0.14315657171826338,0.13877551020408163
2019-10-07,0.3072827487173066,0.29602040816326525
2019-10-08,-0.2717766401959611,-0.23887755102040814
2019-10-09,0.03304332822599132,0.011224489795918367
2019-10-10,0.32399610246069577,0.3515306122448979
2019-10-11,0.043441164972991095,0.0026530612244897956
2019-10-14,0.1187422988981875,0.06438775510204081
2019-10-15,-0.051058598762459335,-0.0021428571428571425
2019-10-16,-0.032676999507218404,-0.0570408163265306
2019-10-17,-0.06814826828871748,0.032755102040816324
2019-10-18,-0.061208108885318545,-0.03132653061224489
2019-10-21,0.21483911506105713,0.22224489795918365
2019-10-22,-0.12321920282439693,-0.11612244897959183
2019-10-23,0.23198295406990158,0.2601020408163265
2019-10-24,-0.04214488323866593,0.04224489795918367
2019-10-25,-0.06916467646738925,-0.21214285714285713
2019-10-28,-0.3135258121773614,-0.5141836734693878
2019-10-29,-0.09005438561053586,-0.1286734693877551
2019-10-30,0.19264537617771804,0.12040816326530611
2019-10-31,0.2406960000266628,0.4792857142857142
2019-11-01,0.07971465744668228,0.03908163265306122
2019-11-04,-0.35614574783336905,-0.3174489795918367
2019-11-05,0.06619577121549555,0.14581632653061224
2019-11-06,0.22896108910066718,0.1433673469387755
2019-11-07,0.057572166727976666,0.07051020408163265
2019-11-08,0.012604316883638061,0.004591836734693877
2019-11-11,-0.2003077004904956,-0.08020408163265307
2019-11-12,-0.2502475146146951,-0.2429591836734694
2019-11-13,-0.08476169135723544,-0.09928571428571427
2019-11-14,0.1918656450384145,0.17428571428571424
2019-11-15,0.08004307054037386,0.06642857142857142
