date,concentration
2018-02-14,0.04399999999999996
2018-02-20,0.05919999999999997
2018-02-23,0.06799999999999998
2018-02-26,0.06160000000000002
2018-03-06,0.05519999999999997
2018-03-23,0.04559999999999996
2018-03-26,0.048799999999999975
2018-04-05,0.06160000000000001
2018-04-17,0.05759999999999997
2018-04-20,0.047199999999999964
2018-04-23,0.05199999999999997
2018-04-24,0.060799999999999965
2018-05-07,0.04879999999999997
2018-05-08,0.05999999999999997
2018-05-10,0.06560000000000002
2018-05-11,0.0632
2018-05-14,0.06000000000000001
2018-05-22,0.0608
2018-05-23,0.06079999999999996
2018-05-31,0.06799999999999998
2018-06-04,0.06399999999999995
2018-06-05,0.06239999999999995
2018-06-06,0.05919999999999995
2018-06-07,0.06159999999999996
2018-06-19,0.05039999999999996
2018-06-20,0.05599999999999997
2018-06-21,0.06559999999999996
2018-07-02,0.06079999999999998
2018-07-26,0.059999999999999956
2018-08-02,0.06400000000000002
2018-08-03,0.0664
2018-08-13,0.055999999999999966
2018-08-14,0.0608
2018-08-15,0.05839999999999996
2018-08-16,0.047999999999999945
2018-08-17,0.04879999999999994
2018-08-20,0.04959999999999996
2018-08-21,0.05599999999999998
2018-08-22,0.062400000000000025
2018-08-30,0.0776
2018-08-31,0.0784
2018-09-05,0.05519999999999997
2018-09-10,0.059999999999999956
2018-10-12,0.064
2018-10-19,0.047199999999999985
2018-10-26,0.07360000000000001
2018-10-31,0.07040000000000002
2018-11-15,0.06720000000000002
2018-11-16,0.06799999999999996
2018-11-19,0.06959999999999995
2018-11-20,0.06319999999999996
2018-11-26,0.0616
2018-11-27,0.0616
2018-12-04,0.06639999999999999
2018-12-13,0.06159999999999997
2018-12-14,0.06399999999999997
2018-12-27,0.06319999999999996
2019-01-11,0.062399999999999935
2019-01-18,0.0568
2019-01-22,0.05439999999999997
2019-02-04,0.055199999999999985
2019-02-05,0.05759999999999997
2019-02-19,0.0464
2019-02-20,0.050399999999999966
2019-02-22,0.0584
2019-02-25,0.060000000000000005
2019-03-20,0.06079999999999998
2019-03-21,0.06079999999999996
2019-04-08,0.06559999999999998
2019-04-09,0.06399999999999997
2019-04-10,0.06240000000000001
2019-04-22,0.06239999999999997
2019-04-24,0.06960000000000001
2019-04-26,0.055999999999999966
2019-04-29,0.050399999999999986
2019-05-02,0.05759999999999997
2019-05-03,0.060000000000000005
2019-05-17,0.06559999999999998
2019-05-20,0.06079999999999996
2019-05-21,0.05439999999999996
2019-05-22,0.058399999999999966
2019-05-23,0.06399999999999996
2019-05-24,0.06719999999999997
2019-05-28,0.07040000000000002
2019-06-10,0.06799999999999998
2019-06-11,0.05999999999999999
2019-07-12,0.05839999999999995
2019-07-18,0.0688
2019-07-19,0.064
2019-07-25,0.0616
2019-08-05,0.055999999999999966
2019-08-06,0.055999999999999994
2019-08-07,0.06319999999999996
2019-08-08,0.06480000000000001
2019-09-10,0.05839999999999996
2019-09-11,0.061599999999999946
2019-09-12,0.05839999999999995
2019-09-13,0.06399999999999996
2019-09-16,0.07039999999999998
2019-09-17,0.07119999999999997
2019-09-27,0.05599999999999997
2019-09-30,0.05519999999999999
2019-10-01,0.05600000000000001
2019-10-04,0.057600000000000005
2019-10-08,0.060799999999999965
2019-10-09,0.058399999999999966
2019-10-17,0.05519999999999998
2019-10-25,0.05999999999999996
2019-11-01,0.05359999999999996
2019-11-05,0.05599999999999998
2019-11-08,0.055999999999999946
2019-11-11,0.060799999999999965
2019-11-12,0.05599999999999997
2019-11-15,0.05279999999999995
2019-11-21,0.06879999999999996
2019-11-22,0.06560000000000002
2019-11-25,0.06240000000000002
2019-11-29,0.06799999999999998
2019-12-02,0.05999999999999996
2019-12-03,0.05199999999999998
2019-12-11,0.05119999999999998
2019-12-13,0.05680000000000002
2019-12-16,0.054400000000000004
2019-12-26,0.061599999999999974
2019-12-27,0.05680000000000002
2020-01-06,0.05599999999999995
2020-01-07,0.05279999999999996
2020-01-08,0.04879999999999995
2020-01-09,0.052799999999999944
2020-01-10,0.05519999999999996
2020-01-23,0.05279999999999996
2020-01-24,0.05119999999999996
2020-01-31,0.047199999999999985
2020-02-03,0.04799999999999996
2020-02-04,0.05119999999999995
2020-02-05,0.05999999999999996
2020-02-13,0.05839999999999997
2020-02-14,0.05999999999999997
2020-02-24,0.04959999999999995
2020-03-09,0.05919999999999996
2020-03-10,0.059999999999999956
2020-03-11,0.06799999999999998
2020-03-12,0.07600000000000001
2020-03-13,0.0824
2020-03-16,0.07519999999999995
2020-03-23,0.05679999999999995
2020-04-01,0.04719999999999996
2020-04-22,0.07039999999999998
2020-05-04,0.05599999999999998
2020-05-05,0.051999999999999984
2020-05-06,0.05279999999999998
2020-05-11,0.06159999999999995
2020-05-12,0.062399999999999956
2020-05-13,0.06319999999999995
2020-05-14,0.06719999999999997
2020-05-26,0.05919999999999996
2020-05-27,0.06159999999999995
2020-06-18,0.06719999999999994
2020-06-19,0.05679999999999996
2020-06-22,0.055199999999999964
2020-06-23,0.056799999999999976
2020-06-24,0.05279999999999997
2020-06-25,0.05199999999999994
2020-06-29,0.05039999999999995
2020-06-30,0.047999999999999945
2020-07-01,0.048799999999999955
2020-07-10,0.058399999999999945
2020-07-30,0.053599999999999974
2020-08-06,0.07039999999999998
2020-08-07,0.06879999999999999
2020-08-10,0.059199999999999954
2020-08-17,0.06879999999999999
2020-08-24,0.06639999999999996
2020-08-25,0.06559999999999998
2020-08-26,0.05999999999999995
2020-08-27,0.062399999999999956
2020-08-28,0.06239999999999996
2020-08-31,0.06559999999999996
2020-09-01,0.06959999999999997
2020-09-02,0.06879999999999997
2020-09-14,0.05919999999999995
2020-09-15,0.05519999999999996
2020-09-18,0.048799999999999975
2020-09-21,0.05199999999999996
2020-09-23,0.058399999999999994
2020-10-07,0.06079999999999997
2020-10-19,0.05039999999999994
2020-10-27,0.06960000000000002
2020-11-16,0.0648
2020-11-18,0.054399999999999955
2020-11-19,0.05199999999999994
2020-11-24,0.06159999999999995
2020-11-25,0.06239999999999994
2020-12-01,0.057599999999999964
2020-12-21,0.059199999999999996
2020-12-31,0.04239999999999995
2021-01-11,0.052799999999999965
2021-01-12,0.06159999999999996
2021-01-13,0.07520000000000002
2021-01-14,0.06239999999999996
2021-01-15,0.05519999999999995
2021-01-19,0.05439999999999996
2021-01-27,0.06800000000000002
2021-02-09,0.05999999999999996
2021-02-10,0.06479999999999995
2021-02-11,0.06639999999999997
2021-02-12,0.06240000000000002
2021-02-16,0.055199999999999985
2021-02-17,0.04879999999999996
2021-02-18,0.05039999999999999
2021-02-23,0.05199999999999994
2021-02-26,0.06319999999999995
2021-03-01,0.06159999999999996
2021-03-02,0.06319999999999994
2021-03-03,0.07039999999999996
2021-03-04,0.06719999999999995
2021-03-05,0.06719999999999995
2021-03-08,0.06399999999999996
2021-03-09,0.06960000000000001
2021-03-10,0.07600000000000001
2021-03-11,0.07520000000000002
2021-03-18,0.04959999999999997
2021-04-09,0.059199999999999996
2021-04-12,0.06559999999999996
2021-04-15,0.04399999999999996
2021-04-16,0.047199999999999985
2021-04-19,0.0592
2021-04-20,0.05599999999999998
2021-05-05,0.053599999999999946
2021-05-10,0.06479999999999995
2021-05-12,0.05679999999999995
2021-05-19,0.05199999999999996
2021-05-27,0.06239999999999997
2021-05-28,0.057599999999999964
2021-06-01,0.06159999999999997
2021-06-02,0.06399999999999996
2021-06-04,0.061599999999999995
2021-06-21,0.07519999999999996
2021-06-22,0.0752
2021-06-23,0.07680000000000002
2021-06-24,0.0752
2021-07-06,0.06960000000000001
2021-07-14,0.06799999999999994
2021-07-15,0.05999999999999996
2021-07-30,0.04639999999999997
2021-08-05,0.06319999999999998
2021-08-06,0.06800000000000002
2021-08-30,0.05439999999999997
2021-08-31,0.0544
2021-09-01,0.05519999999999996
