,rank_ic
2018,-0.003826979599360758
2019,0.0006139127362013162
2020,0.020803583198964665
2021,-0.009517694736106481
2022,-0.013429189888742319
2023,-0.0009921641651695838
2024,0.0006573214043427425
2025,-0.02154992169602621
2026,0.02369460069936226
