fractional_kelly,full_kelly,bet_fraction,terminal_wealth_p05,terminal_wealth_median,terminal_wealth_p95,probability_loss,median_max_drawdown,p05_max_drawdown
0.0,0.0726190476190477,0.0,1.0,1.0,1.0,0.0,0.0,0.0
0.25,0.0726190476190477,0.018154761904761924,0.8272213077004149,1.3417539510344108,2.176326514268716,0.1518,-0.2061660685261505,-0.35984839239430777
0.5,0.0726190476190477,0.03630952380952385,0.6271981090545177,1.649915932336481,4.340291439783562,0.1878,-0.3787766712189404,-0.6087210799351166
0.75,0.0726190476190477,0.05446428571428577,0.43576866281716853,1.8595979650393963,7.935643121335576,0.2252,-0.5224135681808373,-0.7715671068576874
1.0,0.0726190476190477,0.0726190476190477,0.27733417855964826,1.9209599139782731,13.30556158017056,0.2634,-0.6462734574290971,-0.8739247823441899
