date,rolling_ann_return,rolling_ann_vol,rolling_sharpe,rolling_max_drawdown
2020-05-11,0.3797965542741435,0.1258478165831391,3.017903405763403,-0.041280408392983414
2020-05-12,0.38218647880778167,0.12583031164055364,3.0373164766493934,-0.041280408392983414
2020-05-13,0.3714086581366155,0.12577756470575188,2.9529006942176137,-0.04128040839298375
2020-05-14,0.35989397918940913,0.1257525661913197,2.8619215503075077,-0.04128040839298319
2020-05-26,0.3957603251829487,0.13000296772302475,3.04424069784413,-0.041280408392983525
2020-05-27,0.3854397201509523,0.1301977875370513,2.960416819996,-0.041280408392983636
2020-06-08,0.3619344542157269,0.13075141366690912,2.768111212455106,-0.04128040839298319
2020-06-09,0.3921302979481813,0.13142165099785846,2.983757204165479,-0.0412804083929833
2020-06-10,0.42536666897465847,0.13314301361211103,3.194810282827833,-0.0412804083929833
2020-06-18,0.40423524909997727,0.13250479235772586,3.050721727925548,-0.0412804083929833
2020-06-19,0.39216147028423926,0.1326758952059476,2.9557853721318583,-0.041280408392983636
2020-06-22,0.36652014688673007,0.13394499348827044,2.736348237747507,-0.04128040839298375
2020-06-23,0.3606532311463007,0.133827007497087,2.694921136558709,-0.04128040839298386
2020-06-24,0.3416472673003641,0.13425938981690458,2.544680619852985,-0.041280408392983414
2020-06-26,0.3427238135116839,0.13418969125107444,2.5540249054633684,-0.041280408392983414
2020-06-29,0.3654218611635023,0.13445902335811497,2.7177191387910544,-0.041280408392983636
2020-07-02,0.3689033331596185,0.1344195429303935,2.7444174047716254,-0.041280408392983525
2020-07-28,0.3496459918396513,0.1336013868809255,2.617083549823321,-0.041280408392983525
2020-07-29,0.3176248967149313,0.13532892022466506,2.3470585310784227,-0.03729492365680809
2020-07-30,0.3233567797006829,0.13507881672497649,2.3938378166211263,-0.03729492365680798
2020-08-06,0.3417655225786595,0.1350536392527166,2.5305909894004204,-0.03729492365680798
2020-08-07,0.3727464905197113,0.13490588897302,2.7630112618305156,-0.03729492365680798
2020-08-25,0.36925428935171806,0.13503603809380005,2.7344869900227904,-0.03729492365680809
2020-08-26,0.28072247707032827,0.14702982732496656,1.9092893066511816,-0.05996513286288985
2020-08-27,0.28320278786601927,0.14709921310441165,1.925250189237932,-0.059965132862889736
2020-09-02,0.2831120306841345,0.14709906863058272,1.9246351001387239,-0.059965132862889514
2020-09-11,0.2844896477021609,0.14713510345558908,1.9335266773236797,-0.05996513286288985
2020-09-14,0.3013323726943775,0.1472485102765392,2.04642051813266,-0.0599651328628894
2020-09-15,0.3594815703252369,0.14529810837863952,2.4740966991011764,-0.05996513286288996
2020-09-18,0.32568393831759973,0.14420749815019746,2.25843969623818,-0.05996513286288985
2020-09-21,0.3542416094963513,0.143400249708221,2.4702998092202284,-0.05996513286288918
2020-10-07,0.35958156406110914,0.14332254572521475,2.5088974120688405,-0.05996513286288985
2020-10-19,0.3956435520147073,0.14013175425294513,2.8233682945305203,-0.059965132862889514
2020-10-27,0.3671864882544969,0.140707719803851,2.6095688905083643,-0.05996513286288929
2020-11-16,0.3344954154920341,0.13928426756282034,2.4015304911674207,-0.059965132862889625
2020-11-17,0.31050038937717855,0.13873834436967228,2.2380286487334855,-0.0599651328628894
2020-11-25,0.3168262106415875,0.13900892453697952,2.2791789210433366,-0.059965132862889625
2020-11-30,0.3250303890970037,0.13942937717632464,2.331147106007404,-0.059965132862889736
2020-12-01,0.3319833844635939,0.13943384901521727,2.3809382499895175,-0.05996513286288985
2020-12-31,0.3622169643922955,0.13815944057732724,2.6217315507264547,-0.059965132862889625
2021-01-05,0.35872941085184346,0.13806540465966452,2.5982570487959866,-0.05996513286289018
2021-01-12,0.35734112228481185,0.138057198004658,2.588355605136614,-0.059965132862889625
2021-01-13,0.3646376137678435,0.13806557380799472,2.6410465962712655,-0.059965132862889625
2021-01-14,0.3339182180970369,0.1403321823510622,2.379484253025368,-0.059965132862889625
2021-01-15,0.3507363064581467,0.14092231690520274,2.4888627590056163,-0.059965132862889514
2021-01-19,0.3368062108234521,0.14093600148305704,2.3897812289214273,-0.05996513286288985
2021-01-20,0.35675685958103814,0.14156119759176997,2.520159942485392,-0.059965132862889514
2021-01-27,0.34692792114669746,0.1418957507803907,2.4449493324407663,-0.059965132862889625
2021-02-09,0.3358555575120085,0.14201995512860346,2.3648476526265703,-0.05996513286288985
2021-02-10,0.32594937742017127,0.14204769428486896,2.2946474355753885,-0.059965132862889625
2021-02-11,0.34876378465323155,0.14078769576714126,2.4772319963960254,-0.059965132862889625
2021-02-12,0.3342744909091041,0.14025452603863783,2.3833419166595524,-0.059965132862889736
2021-02-16,0.3071236652243323,0.1409434559495365,2.1790558714148114,-0.059965132862889625
2021-02-17,0.3229662838919255,0.14111167982187914,2.2887282207936,-0.059965132862889736
2021-02-23,0.31298608189517674,0.14109199217342028,2.218312159845871,-0.05996513286288996
2021-02-26,0.3400763554377207,0.14141604359819723,2.404793309053204,-0.05996513286288985
